"","language","mean","sd","participant"
"1","english",0.0946909999999998,0.0250382901839031,"es01"
"2","french",0.0134974000000002,0.00373891737747083,"es01"
"3","spanish",0.0152064285714281,0.0054960290166969,"es01"
