"","language","mean","sd","participant"
"1","english",0.050214625,0.0162976422653927,"jennifer"
"2","french",0.0233812222222219,0.0212067349076758,"jennifer"
"3","spanish",0.0108355714285714,0.00418941240339434,"jennifer"
